name,make,model,build_date,odometer,body_type,fuel,transmission,seats,auctioneer,deadline,link_to_auction,link_to_condition_report,other_specs,unique_identifier,hours,state,redbook_code,redbook_average_wholesale,current_market_retail,auction_registration_link,vin,date_listed,name_of_auction
2018 Mitsubishi Triton,Mitsubishi,Triton,2018,220764,Cab Chassis,Diesel,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976183/2018-mitsubishi-triton-glx-dual-cab-mq-my18?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976183/2018-mitsubishi-triton-glx-dual-cab-mq-my18?filterid=19551c425c,Glx Dual Cab Mq My18 4Wd   Whitebuild     Exp23/07/2025,2018MitsubishiTriton220764,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2018 Mitsubishi Triton,Mitsubishi,Triton,2018,220764,Cab Chassis,Diesel,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2976183/2018-mitsubishi-triton-glx-dual-cab-mq-my18?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2976183/2018-mitsubishi-triton-glx-dual-cab-mq-my18?filterid=19551c425c,Glx Dual Cab Mq My18 4Wd   Whitebuild     Exp23/07/2025,2018MitsubishiTriton220764,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2014 Holden Commodore,Holden,Commodore,2014,150958,Sedan,Petrol,Automatic,,Carlins Online,08/01/2025,https://www.carlins.com.au/auctions/catalogues/2977726/2014-holden-commodore-ss-v-vf?filterid=19551c425c,https://www.carlins.com.au/auctions/catalogues/2977726/2014-holden-commodore-ss-v-vf?filterid=19551c425c,Ss V Vf Rwd   Blackbuild     Exp26/03/2025,2014HoldenCommodore150958,48,Vic,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2014 Holden Commodore,Holden,Commodore,2010,115760,Hatchback,Petrol,Manual,,Carlins Online,16/12/2024,https://www.carlins.com.au/auctions/catalogues/2961833/2010-volkswagen-golf-gti-vi-my10?filterid=86dcad24bf,https://www.carlins.com.au/auctions/catalogues/2961833/2010-volkswagen-golf-gti-vi-my10?filterid=86dcad24bf,Gti Vi My10 Fwd   Greybuild     Exp27/05/2025,2010VolkswagenGolf115760,24,NSW,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2015 Audi Q3,Audi,Q3,2015,166370,Wagon,Petrol,Automatic,,Carlins Online,16/12/2024,https://www.carlins.com.au/auctions/catalogues/2968406/2015-audi-q3-tfsi-8u-my15?filterid=86dcad24bf,https://www.carlins.com.au/auctions/catalogues/2968406/2015-audi-q3-tfsi-8u-my15?filterid=86dcad24bf,Tfsi 8U My15 Fwd   Blackbuild     Exp15/06/2025,2015AudiQ3166370,24,NSW,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2015 Audi Q3,Audi,Q3,2015,166370,Wagon,Petrol,Automatic,,Carlins Online,16/12/2024,https://www.carlins.com.au/auctions/catalogues/2968406/2015-audi-q3-tfsi-8u-my15?filterid=86dcad24bf,https://www.carlins.com.au/auctions/catalogues/2968406/2015-audi-q3-tfsi-8u-my15?filterid=86dcad24bf,Tfsi 8U My15 Fwd   Blackbuild     Exp15/06/2025,2015AudiQ3166370,24,NSW,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2019 Ldv V80 Low,Ldv,V80 Low,2019,48038,Van,Diesel,Automatic,,Carlins Online,16/12/2024,https://www.carlins.com.au/auctions/catalogues/2968331/2019-ldv-v80-low-roof-short-wheel?filterid=86dcad24bf,https://www.carlins.com.au/auctions/catalogues/2968331/2019-ldv-v80-low-roof-short-wheel?filterid=86dcad24bf,Roof Short Wheel  Fwd   Whitebuild     Exp17/12/2024,2019LdvV80 Low48038,24,NSW,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2019 Ldv V80 Low,Ldv,V80 Low,2019,48038,Van,Diesel,Automatic,,Carlins Online,16/12/2024,https://www.carlins.com.au/auctions/catalogues/2968331/2019-ldv-v80-low-roof-short-wheel?filterid=86dcad24bf,https://www.carlins.com.au/auctions/catalogues/2968331/2019-ldv-v80-low-roof-short-wheel?filterid=86dcad24bf,Roof Short Wheel  Fwd   Whitebuild     Exp17/12/2024,2019LdvV80 Low48038,24,NSW,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2008 Mini Hatch Cooper,Mini,Hatch Cooper,2008,61347,Hatchback,Petrol,Manual,,Carlins Online,16/12/2024,https://www.carlins.com.au/auctions/catalogues/2972092/2008-mini-hatch-cooper-s-chilli-r56?filterid=86dcad24bf,https://www.carlins.com.au/auctions/catalogues/2972092/2008-mini-hatch-cooper-s-chilli-r56?filterid=86dcad24bf,S Chilli R56 Fwd   Silverbuild     Exp,2008MiniHatch Cooper61347,24,NSW,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
2008 Mini Hatch Cooper,Mini,Hatch Cooper,2008,61347,Hatchback,Petrol,Manual,,Carlins Online,16/12/2024,https://www.carlins.com.au/auctions/catalogues/2972092/2008-mini-hatch-cooper-s-chilli-r56?filterid=86dcad24bf,https://www.carlins.com.au/auctions/catalogues/2972092/2008-mini-hatch-cooper-s-chilli-r56?filterid=86dcad24bf,S Chilli R56 Fwd   Silverbuild     Exp,2008MiniHatch Cooper61347,24,NSW,,,,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=86dcad24bf,,,
